City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
660,Tairua,NZ,73.9,few clouds,-37.0167,175.85,Pacific Harbour Villas
662,Piacabucu,BR,79.77,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
668,Tarakan,ID,80.1,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
670,Hervey Bay,AU,86.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
671,Svay Rieng,KH,82.49,few clouds,11.0879,105.7993,Apsara guesthouse
676,Lakatoro,VU,84.54,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
677,Ambon,ID,82.54,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
682,Salawagan,PH,81.73,overcast clouds,7.7053,125.115,Violeta B. Cardona
685,Hualmay,PE,70.93,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
696,Freetown,SL,75.74,clear sky,8.484,-13.2299,The Country Lodge Hotel
697,Sao Miguel Do Araguaia,BR,71.71,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
700,Anilao,PH,81.81,overcast clouds,12.714,121.5124,Anilao Eco Park
701,Anloga,GH,80.33,broken clouds,5.7947,0.8973,Pin Drop Hotel
707,Wamba,NG,71.1,clear sky,8.9333,8.6,Roma Zee Guest House Annex
711,Puerto Suarez,BO,80.65,broken clouds,-18.95,-57.8,Hotel casa real
712,Maceio,BR,76.44,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
713,Bonito,BR,77.38,scattered clouds,-21.1211,-56.4819,Marruá Hotel
716,Phan Thiet,VN,82.98,scattered clouds,10.9333,108.1,Hotel Saigon-PT
721,Pemangkat,ID,79.5,overcast clouds,1.1667,108.9667,Ramah Kost KITA
